Category,Subfolder,File,Source,PW score (Entity Coherence),PU score (Entity Coherence),PACC uniform (Entity Coherence),PACC weighted (Entity Coherence),Avg entities/sentence (Entity Coherence),Total entities (Entity Coherence),Sentences analyzed (Entity Coherence),Entity persistence ratio (Entity Coherence),Consensus grade level (Readability),Flesch Reading Ease 0-100 (Readability),Flesch-Kincaid grade level (Readability),ARI grade level (Readability),Gunning Fog grade level (Readability),SMOG grade level (Readability),Coleman-Liau grade level (Readability),Interpretation (Readability),Structure score 0-100 (Structure),Headings count (Structure),Headings per sentence (Structure),List items count (Structure),Lists per sentence (Structure),Readiness score 0-100 (Requirements),SMAO sentences count (Requirements),SMAO sentences % (Requirements),Vague words per sentence (Requirements),Anaphora per sentence (Requirements),Sentence CV (Requirements),CPRE terms per sentence (CPRE)
Long PRD,prd_files,alexhouse-ua__BookHelper__docs__product-brief,https://github.com/alexhouse-ua/BookHelper,183.64,66.89,309.86,3.52,4.76,914,192,0.56,22.5,-6.9,21.4,24,25.3,21.1,20.8,Very Difficult (College Graduate),64.3,39,0.17,571,2.43,46.0,0,0.0,0.22,0.1,1.366,1.01
Long PRD,prd_files,alexhouse-ua__BookHelper__docs__archive__legacy-structure-2025-12-04__0-project__product-brief,https://github.com/alexhouse-ua/BookHelper,183.64,66.89,309.86,3.52,4.77,915,192,0.56,22.5,-6.9,21.4,24,25.3,21.1,20.8,Very Difficult (College Graduate),64.3,39,0.17,571,2.43,46.0,0,0.0,0.22,0.1,1.364,1.01
Long PRD,prd_files,Trusaman__hoadon__docs__implementation-log,https://github.com/Trusaman/hoadon,207.39,76.84,421.04,3.55,3.24,755,233,0.57,16.9,12.8,15.4,17,17.1,14.9,19.6,Very Difficult (College Graduate),95.3,214,0.42,772,1.5,46.0,0,0.0,0.28,0.06,1.529,0.79
Long PRD,prd_files,dudleypeacockqa__ma-saas-platform__docs__strategy__DETAILED_ACTION_PLAN_COMPLETE,https://github.com/dudleypeacockqa/ma-saas-platform,149.36,75.59,289.62,3.19,2.99,1040,348,0.63,24.5,-21.7,22.7,26,27.0,21.9,25.1,Very Difficult (College Graduate),52.6,60,0.16,138,0.37,46.0,0,0.0,0.19,0.04,0.843,1.96
Long PRD,prd_files,brainrepo__perrache-api__docs__implementation-readiness-report-2025-11-10,https://github.com/brainrepo/perrache-api,217.35,97.72,385.99,3.61,3.22,1079,335,0.62,20.1,-1.5,18.7,21,22.0,18.4,21.2,Very Difficult (College Graduate),72.9,78,0.19,698,1.73,46.0,0,0.0,0.27,0.06,1.727,2.19
Long PRD,prd_files,zzwwbs__ZoteroRAG__docs__prd,https://github.com/zzwwbs/ZoteroRAG,69.81,45.19,189.47,1.5,1.38,782,568,0.48,9.9,46.1,8.4,8,12.2,10.2,10.6,Difficult (College),86.2,142,0.12,278,0.24,46.0,15,1.3,0.08,0.13,1.518,0.35
Long PRD,prd_files,treasurenetprotocol__smart-contracts__tcash,https://github.com/treasurenetprotocol/smart-contracts,118.37,65.46,230.41,2.36,1.89,897,475,0.47,10.9,37.4,9.4,10,12.1,9.8,12.6,Difficult (College),34.2,69,0.04,51,0.03,46.0,7,0.4,0.06,0.08,1.825,0.21
Long PRD,prd_files,IBE160__SG-Tony__docs__implementation-readiness-report-2025-11-19,https://github.com/IBE160/SG-Tony,143.82,54.07,278.04,2.74,4.62,1040,225,0.58,19.7,6.9,18.4,21,21.3,18.3,19.6,Very Difficult (College Graduate),63.9,42,0.14,690,2.23,46.0,0,0.0,0.19,0.09,1.42,2.77
Wikipedia,non_related_wikipedia_samples,wiki__2005_Texas_Longhorns_football_team,https://en.wikipedia.org/wiki/2005_Texas_Longhorns_football_team,88.93,65.99,317.93,2.39,2.29,986,430,0.41,11.1,58.4,9.7,11,12.3,11.7,10.6,Fairly Difficult (10th-12th grade),1.1,4,0.01,0,0.0,30.0,0,0.0,0.07,0.52,0.553,0.04
Wikipedia,non_related_wikipedia_samples,wiki__4th_Army__Kingdom_of_Yugoslavia_,https://en.wikipedia.org/wiki/4th_Army__Kingdom_of_Yugoslavia_,66.88,45.33,214.57,1.99,2.65,963,364,0.43,15.4,34.7,13.8,16,18.0,16.0,13.2,Difficult (College),0.3,1,0.0,0,0.0,30.0,0,0.0,0.15,0.65,0.968,0.03
Wikipedia,non_related_wikipedia_samples,wiki__13th_Waffen_Mountain_Division_of_the_SS_Handschar__1st_Croatian_,https://en.wikipedia.org/wiki/13th_Waffen_Mountain_Division_of_the_SS_Handschar__1st_Croatian_,71.27,56.69,253.9,2.15,2.72,1168,430,0.44,15.1,37.1,13.5,15,17.5,15.6,13.1,Difficult (College),2.1,8,0.02,0,0.0,30.0,0,0.0,0.18,0.58,0.58,0.1
Wikipedia,non_related_wikipedia_samples,wiki__2nd_Infantry_Division__United_Kingdom_,https://en.wikipedia.org/wiki/2nd_Infantry_Division__United_Kingdom_,106.36,92.04,484.92,2.69,2.03,959,473,0.42,13.1,47.2,11.3,12,15.5,14.2,11.6,Difficult (College),2.2,8,0.02,0,0.0,30.0,0,0.0,0.12,0.56,0.478,0.07
Long PRD,prd_files,krish-59__passportlink__Product_Requirements_Document__Passport,https://github.com/krish-59/passportlink,101.57,83.06,367.72,1.82,1.07,878,822,0.5,11.2,48.7,10.0,10,12.6,12.1,11.4,Difficult (College),53.1,16,0.02,321,0.36,28.2,3,0.3,0.19,0.45,0.778,0.53
Wikipedia,non_related_wikipedia_samples,wiki__40_Wall_Street,https://en.wikipedia.org/wiki/40_Wall_Street,91.28,61.8,247.34,2.3,2.63,1095,416,0.4,12.2,53.3,10.0,12,13.5,12.8,11.7,Fairly Difficult (10th-12th grade),0.0,0,0.0,0,0.0,30.0,0,0.0,0.12,0.39,0.641,0.09
Wikipedia,non_related_wikipedia_samples,wiki__Aaliyah,https://en.wikipedia.org/wiki/Aaliyah,123.99,94.72,481.66,2.82,2.77,1311,474,0.37,10.8,56.5,9.9,10,12.5,11.9,9.9,Fairly Difficult (10th-12th grade),0.0,0,0.0,0,0.0,18.0,0,0.0,0.15,1.33,0.621,0.09
PURE,pure_raw_markdown,2010 - blit draft,"PURE dataset (Napolitano et al., 2021)",20.44,5.72,39.56,1.35,5.84,146,25,0.24,12.5,35.2,10.3,13,14.5,11.7,13.1,Difficult (College),32.8,10,0.12,1,0.01,45.4,4,4.9,0.04,0.17,1.431,0.6
Wikipedia,non_related_wikipedia_samples,wiki__2007_USC_Trojans_football_team,https://en.wikipedia.org/wiki/2007_USC_Trojans_football_team,121.3,85.33,449.1,2.83,2.75,1194,434,0.45,12.1,54.9,10.7,12,13.5,12.6,10.8,Fairly Difficult (10th-12th grade),1.4,6,0.01,0,0.0,30.0,0,0.0,0.11,0.52,0.686,0.04
Wikipedia,non_related_wikipedia_samples,wiki__2005_Atlantic_hurricane_season,https://en.wikipedia.org/wiki/2005_Atlantic_hurricane_season,84.49,61.22,287.15,2.61,1.84,780,423,0.44,13.4,37.3,12.1,12,15.9,14.3,13.0,Difficult (College),8.8,29,0.06,0,0.0,46.0,0,0.0,0.1,0.4,0.586,0.08
Wikipedia,non_related_wikipedia_samples,wiki__550_Madison_Avenue,https://en.wikipedia.org/wiki/550_Madison_Avenue,53.69,40.09,172.38,1.76,2.72,1169,430,0.37,12.1,47.6,10.7,11,14.1,13.2,11.8,Difficult (College),0.0,0,0.0,0,0.0,30.0,0,0.0,0.12,0.39,0.6,0.14
Wikipedia,non_related_wikipedia_samples,wiki__38th__Welsh__Infantry_Division,https://en.wikipedia.org/wiki/38th__Welsh__Infantry_Division,76.45,64.97,311.46,2.26,2.19,1013,462,0.42,12.9,47.6,11.3,12,15.2,14.0,11.9,Difficult (College),1.9,7,0.01,0,0.0,30.0,0,0.0,0.12,0.54,0.557,0.04
Wikipedia,non_related_wikipedia_samples,wiki__1975_Australian_constitutional_crisis,https://en.wikipedia.org/wiki/1975_Australian_constitutional_crisis,113.47,78.1,493.25,2.83,2.35,941,400,0.42,14.2,42.6,12.9,14,16.7,15.0,12.2,Difficult (College),0.0,0,0.0,0,0.0,18.0,0,0.0,0.1,1.14,0.596,0.05
Wikipedia,non_related_wikipedia_samples,wiki__2002_Pacific_typhoon_season,https://en.wikipedia.org/wiki/2002_Pacific_typhoon_season,82.11,61.25,334.12,2.21,1.33,612,461,0.52,12.4,43.8,11.2,12,14.1,13.2,12.4,Difficult (College),5.1,17,0.03,0,0.0,30.0,0,0.0,0.1,0.42,0.535,0.13
PURE,pure_raw_markdown,2001 - libra,"PURE dataset (Napolitano et al., 2021)",82.13,45.43,197.59,2.9,2.96,606,205,0.39,12.8,40.2,11.1,11,14.9,13.5,13.0,Difficult (College),2.0,4,0.01,0,0.0,30.0,1,0.3,0.13,0.42,1.074,0.55
PURE,pure_raw_markdown,2003 - agentmom,"PURE dataset (Napolitano et al., 2021)",25.73,19.37,102.9,1.79,1.8,218,121,0.46,10.1,44.9,8.3,9,11.5,9.5,10.7,Difficult (College),26.7,2,0.01,17,0.06,46.0,0,0.0,0.08,0.19,1.529,0.14
Wikipedia,non_related_wikipedia_samples,wiki__Abd_al-Malik_ibn_Marwan,https://en.wikipedia.org/wiki/Abd_al-Malik_ibn_Marwan,131.74,52.76,240.68,1.73,2.45,1525,623,0.39,10.2,51.1,8.8,8,12.1,11.5,10.0,Fairly Difficult (10th-12th grade),0.0,0,0.0,0,0.0,46.0,0,0.0,0.06,0.38,1.247,0.04
PURE,pure_raw_markdown,2002 - evla back,"PURE dataset (Napolitano et al., 2021)",76.58,45.15,221.21,2.67,3.65,792,217,0.35,10.1,44.6,8.6,10,11.7,10.0,10.3,Difficult (College),1.0,2,0.0,0,0.0,44.8,16,2.0,0.18,0.12,1.539,0.31
PURE,pure_raw_markdown,2009 - warc III,"PURE dataset (Napolitano et al., 2021)",43.44,26.5,107.89,1.95,2.95,517,175,0.42,11.8,46.7,10.0,10,13.6,12.6,12.3,Difficult (College),24.3,4,0.01,39,0.13,44.8,2,0.7,0.2,0.29,1.033,0.51
PURE,pure_raw_markdown,2007 - puget sound,"PURE dataset (Napolitano et al., 2021)",49.16,34.55,195.48,1.98,1.9,436,229,0.49,10.9,44.9,9.4,10,12.3,11.3,12.3,Difficult (College),6.0,5,0.01,5,0.01,46.0,14,3.4,0.1,0.34,1.159,0.71
PURE,pure_raw_markdown,2009 - peazip,"PURE dataset (Napolitano et al., 2021)",131.6,64.25,409.06,3.04,2.62,682,260,0.49,13.1,40.8,11.4,12,14.7,13.5,13.2,Difficult (College),34.9,44,0.09,52,0.11,30.0,2,0.4,0.17,0.58,1.436,0.9
PURE,pure_raw_markdown,2005 - triangle,"PURE dataset (Napolitano et al., 2021)",71.46,37.24,294.42,2.43,3.74,635,170,0.4,7.9,62.5,6.6,5,10.1,9.9,7.5,Standard (8th-9th grade),26.7,57,0.09,2,0.0,46.0,10,1.5,0.05,0.15,1.161,0.61
PURE,pure_raw_markdown,2001 - space fractions,"PURE dataset (Napolitano et al., 2021)",20.09,12.14,54.49,1.48,3.28,308,94,0.46,9.8,53.2,7.8,9,11.0,10.3,10.9,Fairly Difficult (10th-12th grade),51.6,22,0.09,25,0.1,44.8,5,2.1,0.04,0.26,1.073,0.4
PURE,pure_raw_markdown,2004 - ijis,"PURE dataset (Napolitano et al., 2021)",244.52,159.1,421.95,4.56,1.07,530,496,0.51,11.5,39.4,9.3,10,14.3,10.8,12.8,Difficult (College),9.3,21,0.02,0,0.0,46.0,0,0.0,0.04,0.08,1.359,0.14
Long PRD,prd_files,ensarbooks__guides__products__750-Accounts_Payable_Automation_SaaS_Application___Product_Requirements_Document,https://github.com/ensarbooks/guides,235.88,163.59,663.18,2.63,1.44,1445,1004,0.56,11.5,45.9,10.3,10,13.3,12.5,12.0,Difficult (College),54.4,36,0.02,850,0.57,29.4,22,1.5,0.25,0.33,0.741,0.52
PURE,pure_raw_markdown,2005 - znix,"PURE dataset (Napolitano et al., 2021)",49.23,24.18,102.18,1.72,2.64,457,173,0.43,11.3,39.1,9.6,10,13.7,11.1,12.3,Difficult (College),19.2,10,0.02,29,0.07,46.0,1,0.2,0.07,0.28,1.203,0.56
PURE,pure_raw_markdown,2001 - esa,"PURE dataset (Napolitano et al., 2021)",175.18,64.57,356.35,3.72,3.3,669,203,0.46,13.5,29.4,12.3,12,15.9,13.7,13.3,Very Difficult (College Graduate),19.6,10,0.02,24,0.04,45.4,9,1.5,0.11,0.19,1.402,0.76
PURE,pure_raw_markdown,2009 - email,"PURE dataset (Napolitano et al., 2021)",38.64,11.38,93.7,2.03,14.28,671,47,0.2,10.7,44.4,9.6,8,13.8,12.2,10.1,Difficult (College),18.8,6,0.02,16,0.04,46.0,0,0.0,0.06,0.1,1.119,0.44
PURE,pure_raw_markdown,2004 - philips,"PURE dataset (Napolitano et al., 2021)",41.07,28.05,65.41,2.9,2.37,360,152,0.31,7.5,56.5,6.4,7,9.3,8.3,6.7,Fairly Difficult (10th-12th grade),0.0,0,0.0,0,0.0,46.0,2,0.5,0.01,0.06,1.583,0.13
PURE,pure_raw_markdown,2007 - ertms,"PURE dataset (Napolitano et al., 2021)",122.21,85.25,272.51,2.36,1.09,580,532,0.45,8.5,49.9,7.3,7,11.1,8.7,7.7,Difficult (College),18.4,25,0.01,54,0.03,46.0,2,0.1,0.12,0.05,1.838,0.07
Long PRD,prd_files,BitCurator__bitcurator.github.io__legacy-blog-posts,https://github.com/BitCurator/bitcurator.github.io,149.02,109.9,417.21,2.2,2.35,2319,987,0.48,13.3,35.3,11.5,11,15.6,13.5,13.7,Difficult (College),45.1,84,0.05,225,0.12,46.0,0,0.0,0.1,0.23,1.332,0.19
PURE,pure_raw_markdown,2008 - virtual ed,"PURE dataset (Napolitano et al., 2021)",153.37,100.73,328.96,2.91,1.47,881,598,0.47,9.9,53.3,8.5,8,11.1,10.8,10.8,Fairly Difficult (10th-12th grade),0.0,0,0.0,0,0.0,44.8,15,1.6,0.05,0.28,1.603,0.54
PURE,pure_raw_markdown,2005 - nenios,"PURE dataset (Napolitano et al., 2021)",719.08,709.31,884.13,6.56,0.34,509,1500,0.39,10.0,56.7,8.2,9,11.6,11.2,10.3,Fairly Difficult (10th-12th grade),0.0,0,0.0,0,0.0,44.8,5,1.8,0.06,0.31,0.935,0.45
PURE,pure_raw_markdown,2008 - vub,"PURE dataset (Napolitano et al., 2021)",90.79,52.0,254.29,2.0,1.11,523,471,0.53,10.1,48.7,8.7,9,11.3,10.6,11.2,Difficult (College),11.0,30,0.04,0,0.0,44.8,5,0.7,0.05,0.26,1.535,0.55
PURE,pure_raw_markdown,2004 - grid bgc,"PURE dataset (Napolitano et al., 2021)",59.56,47.07,235.45,1.15,0.48,462,968,0.61,6.7,55.5,6.3,8,7.3,7.1,5.3,Fairly Difficult (10th-12th grade),89.9,378,0.23,272,0.17,46.0,101,6.2,0.02,0.04,1.566,0.36
PURE,pure_raw_markdown,0000 - cctns,"PURE dataset (Napolitano et al., 2021)",71.27,26.33,172.87,2.55,6.06,764,126,0.33,12.9,40.8,11.7,12,14.7,13.6,12.5,Difficult (College),0.0,0,0.0,0,0.0,30.0,11,3.4,0.22,0.34,1.29,0.86
PURE,pure_raw_markdown,1999 - multi-mahjong,"PURE dataset (Napolitano et al., 2021)",89.5,71.68,114.59,3.84,1.36,244,180,0.34,11.9,31.0,10.3,12,12.6,10.0,14.0,Difficult (College),0.0,0,0.0,0,0.0,44.8,2,1.0,0.04,0.18,1.425,0.34
PURE,pure_raw_markdown,2007 - nde,"PURE dataset (Napolitano et al., 2021)",427.81,119.61,1060.51,4.41,7.49,2530,338,0.33,11.5,46.7,10.5,10,14.4,13.3,10.4,Difficult (College),5.8,29,0.02,22,0.01,46.0,37,2.0,0.14,0.1,1.979,0.8
PURE,pure_raw_markdown,2010 - mashboot,"PURE dataset (Napolitano et al., 2021)",30.98,23.78,94.21,1.8,1.84,413,224,0.42,11.0,42.7,9.8,10,12.4,11.4,12.4,Difficult (College),55.0,40,0.14,40,0.14,44.8,2,0.7,0.09,0.3,1.0,0.83
PURE,pure_raw_markdown,2007 - nlm,"PURE dataset (Napolitano et al., 2021)",217.32,159.05,449.41,3.19,1.48,1705,1152,0.45,11.6,34.9,10.2,10,14.4,11.3,12.9,Difficult (College),0.8,6,0.0,0,0.0,46.0,5,0.2,0.07,0.14,1.564,0.2
PURE,pure_raw_markdown,2009 - video search,"PURE dataset (Napolitano et al., 2021)",48.78,26.14,176.85,2.15,2.6,335,129,0.49,8.9,61.3,7.3,7,9.7,10.0,9.9,Standard (8th-9th grade),0.0,0,0.0,0,0.0,44.8,12,4.5,0.05,0.44,1.039,0.55
PURE,pure_raw_markdown,2002 - sce api,"PURE dataset (Napolitano et al., 2021)",289.85,156.64,730.91,2.8,1.36,1540,1135,0.55,14.2,32.8,12.9,14,15.9,14.4,14.3,Difficult (College),0.9,9,0.01,1,0.0,29.4,3,0.2,0.17,0.65,1.512,0.7
PURE,pure_raw_markdown,2002 - evla corr,"PURE dataset (Napolitano et al., 2021)",77.05,36.03,160.65,2.84,5.27,717,136,0.34,10.9,42.9,9.3,10,12.6,11.0,11.3,Difficult (College),30.6,51,0.1,5,0.01,44.2,13,2.4,0.14,0.15,2.495,0.38
PURE,pure_raw_markdown,0000 - gamma j,"PURE dataset (Napolitano et al., 2021)",118.16,87.24,473.22,2.19,1.04,640,618,0.51,10.6,44.0,9.2,9,11.6,10.6,12.1,Difficult (College),53.5,45,0.06,222,0.28,45.4,38,4.8,0.08,0.11,1.309,1.04
PURE,pure_raw_markdown,2005 - phin,"PURE dataset (Napolitano et al., 2021)",90.93,46.21,311.86,2.41,2.52,585,232,0.45,11.0,35.2,9.9,9,13.3,10.6,12.4,Difficult (College),2.8,6,0.01,0,0.0,46.0,0,0.0,0.16,0.09,1.641,0.17
PURE,pure_raw_markdown,2005 - grid 3D,"PURE dataset (Napolitano et al., 2021)",30.7,18.17,82.68,1.66,2.45,331,135,0.4,10.5,49.5,8.5,10,11.8,10.7,11.2,Difficult (College),34.9,28,0.12,6,0.03,46.0,1,0.4,0.07,0.28,1.299,0.45
PURE,pure_raw_markdown,2003 - pnnl,"PURE dataset (Napolitano et al., 2021)",236.95,117.18,635.37,2.66,1.31,1651,1259,0.49,10.8,48.9,9.0,10,12.4,11.5,11.4,Difficult (College),14.8,107,0.04,82,0.03,44.2,11,0.4,0.08,0.17,1.188,0.73
PURE,pure_raw_markdown,2001 - hats,"PURE dataset (Napolitano et al., 2021)",189.04,132.39,611.51,2.06,0.71,1116,1568,0.49,8.9,58.1,7.4,7,9.8,9.9,10.0,Fairly Difficult (10th-12th grade),33.6,37,0.02,250,0.12,45.4,19,0.9,0.05,0.14,1.154,0.59
PURE,pure_raw_markdown,2001 - ctc network,"PURE dataset (Napolitano et al., 2021)",78.88,43.32,146.05,1.57,1.45,733,504,0.45,10.4,44.3,9.0,9,12.2,10.7,11.3,Difficult (College),8.7,9,0.01,10,0.01,45.4,5,0.6,0.1,0.06,2.288,0.33
PURE,pure_raw_markdown,2005 - clarus low,"PURE dataset (Napolitano et al., 2021)",433.52,220.31,788.23,4.07,2.71,2155,796,0.4,13.4,34.6,11.8,13,15.1,13.5,13.0,Difficult (College),12.1,36,0.02,66,0.04,46.0,108,6.9,0.09,0.24,1.335,1.03
PURE,pure_raw_markdown,2003 - tachonet,"PURE dataset (Napolitano et al., 2021)",200.59,78.12,456.92,3.02,2.47,916,371,0.44,15.8,30.6,14.9,16,18.4,16.2,13.8,Difficult (College),38.3,57,0.12,143,0.3,30.0,22,4.7,0.2,0.49,1.158,1.33
PURE,pure_raw_markdown,2011 - opensg 0.1,"PURE dataset (Napolitano et al., 2021)",38.17,18.03,63.64,2.81,6.1,360,59,0.3,13.5,26.6,11.3,13,16.3,11.9,14.7,Very Difficult (College Graduate),1.7,1,0.0,0,0.0,46.0,0,0.0,0.09,0.11,2.216,0.33
PURE,pure_raw_markdown,2009 - model manager,"PURE dataset (Napolitano et al., 2021)",64.04,41.76,269.93,2.21,1.67,369,221,0.53,8.0,61.9,7.1,6,9.2,9.7,8.2,Standard (8th-9th grade),57.7,23,0.06,127,0.35,46.0,7,1.9,0.17,0.31,1.176,0.91
PURE,pure_raw_markdown,2010 - split merge,"PURE dataset (Napolitano et al., 2021)",81.01,46.54,233.44,2.13,1.69,520,307,0.53,9.9,53.7,8.4,8,11.2,10.9,10.8,Fairly Difficult (10th-12th grade),47.6,43,0.08,80,0.15,28.8,2,0.4,0.12,0.4,1.128,0.57
PURE,pure_raw_markdown,2004 - watcom gui,"PURE dataset (Napolitano et al., 2021)",112.78,63.62,248.11,1.53,1.41,1013,719,0.48,12.9,39.0,10.4,16,11.8,11.2,15.2,Difficult (College),7.5,4,0.0,56,0.07,46.0,1,0.1,0.15,0.22,0.887,0.18
PURE,pure_raw_markdown,2004 - jse,"PURE dataset (Napolitano et al., 2021)",285.22,222.43,478.82,3.35,0.73,892,1215,0.58,7.0,61.7,5.8,6,9.1,8.4,6.1,Standard (8th-9th grade),4.0,15,0.01,0,0.0,46.0,0,0.0,0.0,0.12,1.79,0.05
PURE,pure_raw_markdown,2007 - get real 0.2,"PURE dataset (Napolitano et al., 2021)",26.52,17.07,69.81,1.7,3.56,441,124,0.42,10.5,48.7,8.7,9,12.1,11.0,11.9,Difficult (College),34.9,20,0.07,17,0.06,46.0,0,0.0,0.08,0.2,1.359,0.34
PURE,pure_raw_markdown,2010 - fishing,"PURE dataset (Napolitano et al., 2021)",307.44,99.16,567.08,3.5,3.3,1321,400,0.37,12.0,46.0,10.9,11,14.5,13.4,11.3,Difficult (College),9.2,13,0.01,39,0.04,46.0,2,0.2,0.11,0.17,1.227,0.98
PURE,pure_raw_markdown,2004 - colorcast,"PURE dataset (Napolitano et al., 2021)",99.17,46.11,269.13,2.48,2.18,479,220,0.48,12.3,38.7,10.4,11,13.6,12.0,13.6,Difficult (College),32.4,44,0.12,7,0.02,44.2,9,2.4,0.11,0.27,1.004,0.71
PURE,pure_raw_markdown,2001 - telescope,"PURE dataset (Napolitano et al., 2021)",260.94,99.35,393.87,2.79,3.87,2822,729,0.36,13.7,42.9,11.5,16,15.0,13.8,12.5,Difficult (College),22.0,147,0.13,45,0.04,46.0,2,0.2,0.2,0.16,1.899,0.71
PURE,pure_raw_markdown,2010 - home 1.3,"PURE dataset (Napolitano et al., 2021)",43.13,26.62,115.21,1.63,2.78,528,190,0.45,10.2,44.3,8.8,9,12.3,10.4,11.2,Difficult (College),20.3,4,0.01,29,0.05,46.0,18,3.4,0.08,0.11,1.579,0.44
PURE,pure_raw_markdown,2007 - water use,"PURE dataset (Napolitano et al., 2021)",195.08,98.51,435.07,3.4,3.22,1390,432,0.39,11.2,46.3,10.1,10,13.4,12.5,11.3,Difficult (College),24.6,10,0.01,69,0.06,46.0,13,1.2,0.12,0.36,1.262,0.86
PURE,pure_raw_markdown,1998 - themas,"PURE dataset (Napolitano et al., 2021)",102.38,53.57,266.2,2.8,1.51,423,280,0.56,9.8,41.2,8.8,9,11.1,9.3,10.9,Difficult (College),2.0,3,0.0,2,0.0,46.0,30,2.9,0.14,0.16,2.029,0.22
PURE,pure_raw_markdown,2009 - inventory 2.0,"PURE dataset (Napolitano et al., 2021)",195.17,141.16,520.34,2.26,0.64,908,1414,0.54,10.0,42.5,8.8,8,12.0,10.0,10.6,Difficult (College),83.9,942,0.36,341,0.13,44.8,17,0.6,0.04,0.1,1.57,0.53
PURE,pure_raw_markdown,2004 - watcom,"PURE dataset (Napolitano et al., 2021)",147.73,106.33,258.76,3.02,1.42,1378,970,0.43,9.4,56.6,7.0,13,9.3,9.1,9.2,Fairly Difficult (10th-12th grade),4.7,4,0.0,38,0.02,46.0,0,0.0,0.11,0.11,1.282,0.1
PURE,pure_raw_markdown,2008 - caiso,"PURE dataset (Napolitano et al., 2021)",129.59,37.45,288.5,3.6,4.83,498,103,0.39,12.4,47.4,12.1,12,15.0,13.7,9.4,Difficult (College),7.4,10,0.03,3,0.01,30.0,0,0.0,0.18,0.38,1.813,0.21
PURE,pure_raw_markdown,2004 - sprat,"PURE dataset (Napolitano et al., 2021)",159.74,69.0,468.94,2.67,1.68,642,383,0.51,14.2,25.4,12.8,12,17.3,14.3,14.8,Very Difficult (College Graduate),12.7,18,0.03,19,0.04,46.0,77,14.4,0.13,0.34,0.942,1.59
PURE,pure_raw_markdown,1995 - gemini,"PURE dataset (Napolitano et al., 2021)",184.97,143.54,490.53,2.17,1.08,1521,1406,0.56,12.9,36.4,11.4,11,15.3,13.5,13.4,Difficult (College),1.2,11,0.01,0,0.0,28.8,35,2.0,0.23,0.41,0.921,0.43
PURE,pure_raw_markdown,2007 - mdot,"PURE dataset (Napolitano et al., 2021)",202.9,72.51,463.68,2.76,4.19,1577,376,0.4,12.8,35.6,11.2,12,14.9,13.0,13.0,Difficult (College),16.1,38,0.03,46,0.04,46.0,27,2.1,0.11,0.15,2.893,0.54
PURE,pure_raw_markdown,0000 - inventory,"PURE dataset (Napolitano et al., 2021)",70.26,45.92,192.4,2.39,1.13,291,258,0.46,10.0,39.2,9.2,8,11.6,9.7,11.2,Difficult (College),66.2,20,0.04,161,0.35,46.0,0,0.0,0.02,0.17,1.603,0.43
PURE,pure_raw_markdown,2004 - rlcs,"PURE dataset (Napolitano et al., 2021)",139.69,75.27,313.59,2.14,1.87,1278,685,0.47,10.2,48.3,8.8,9,11.2,10.6,11.1,Difficult (College),8.0,13,0.01,36,0.02,44.8,57,3.5,0.04,0.08,2.337,0.51
PURE,pure_raw_markdown,2010 - gparted,"PURE dataset (Napolitano et al., 2021)",70.04,42.84,289.79,2.32,2.43,551,227,0.44,9.1,58.9,7.3,8,10.0,10.0,9.9,Fairly Difficult (10th-12th grade),45.2,65,0.13,34,0.07,46.0,0,0.0,0.13,0.3,1.066,0.3
PURE,pure_raw_markdown,2008 - viper,"PURE dataset (Napolitano et al., 2021)",974.8,630.37,1544.9,5.53,0.3,538,1799,0.53,10.2,44.9,8.8,9,11.4,10.2,12.3,Difficult (College),0.9,4,0.0,0,0.0,45.4,28,1.9,0.03,0.18,1.167,0.73
PURE,pure_raw_markdown,2005 - clarus high,"PURE dataset (Napolitano et al., 2021)",395.74,321.73,618.56,5.16,1.04,1178,1134,0.43,12.4,33.7,11.2,11,14.4,12.5,13.9,Difficult (College),4.6,18,0.02,0,0.0,46.0,32,3.5,0.1,0.25,1.11,0.64
PURE,pure_raw_markdown,2007 - e-store,"PURE dataset (Napolitano et al., 2021)",64.7,49.64,242.17,2.6,1.86,471,253,0.36,10.1,46.1,8.6,9,11.1,10.0,11.6,Difficult (College),2.4,3,0.01,0,0.0,46.0,64,14.3,0.05,0.12,1.155,0.72
PURE,pure_raw_markdown,2008 - keepass,"PURE dataset (Napolitano et al., 2021)",123.18,75.74,454.08,2.75,1.57,601,383,0.46,8.2,57.2,7.1,7,9.1,9.2,9.4,Fairly Difficult (10th-12th grade),55.2,47,0.05,160,0.18,44.8,4,0.4,0.05,0.29,1.274,0.48
PURE,pure_raw_markdown,2009 - library,"PURE dataset (Napolitano et al., 2021)",129.84,46.15,210.7,2.75,2.17,484,223,0.48,15.8,21.6,14.2,15,18.0,15.4,16.8,Very Difficult (College Graduate),21.7,27,0.12,7,0.03,29.4,5,2.2,0.48,0.28,0.877,1.92
PURE,pure_raw_markdown,1999 - dii,"PURE dataset (Napolitano et al., 2021)",27.31,20.86,67.87,1.33,2.9,759,262,0.35,14.5,28.0,12.7,14,17.0,14.4,14.6,Very Difficult (College Graduate),62.6,56,0.19,105,0.35,46.0,1,0.3,0.19,0.28,0.869,0.47
