Category,Subfolder,File,Source,PW score (Entity Coherence),PU score (Entity Coherence),PACC uniform (Entity Coherence),PACC weighted (Entity Coherence),Avg entities/sentence (Entity Coherence),Total entities (Entity Coherence),Sentences analyzed (Entity Coherence),Entity persistence ratio (Entity Coherence),Consensus grade level (Readability),Flesch Reading Ease 0-100 (Readability),Flesch-Kincaid grade level (Readability),ARI grade level (Readability),Gunning Fog grade level (Readability),SMOG grade level (Readability),Coleman-Liau grade level (Readability),Interpretation (Readability),Structure score 0-100 (Structure),Headings count (Structure),Headings per sentence (Structure),List items count (Structure),Lists per sentence (Structure),Readiness score 0-100 (Requirements),SMAO sentences count (Requirements),SMAO sentences % (Requirements),Vague words per sentence (Requirements),Anaphora per sentence (Requirements),Sentence CV (Requirements),CPRE terms per sentence (CPRE)
Small PRD,small_prd_files,kris790__Context-Switch-Minimizer__PRD2.0,https://github.com/kris790/Context-Switch-Minimizer,16.44,12.1,24.8,1.49,4.07,285,70,0.28,11.5,39.7,9.5,12,12.0,10.4,13.5,Difficult (College),84.2,18,0.17,32,0.3,46.0,0,0.0,0.03,0.07,1.038,0.52
Small PRD,small_prd_files,Abs6187__ReelsPro__prd,https://github.com/Abs6187/ReelsPro,12.1,9.8,27.56,0.93,2.14,274,128,0.41,11.4,36.3,10.1,10,12.6,10.8,12.7,Difficult (College),75.4,14,0.08,88,0.49,46.0,1,0.6,0.05,0.13,0.835,0.29
Small PRD,small_prd_files,Bagro__grumpy-tracker__prd,https://github.com/Bagro/grumpy-tracker,22.77,15.39,77.78,1.88,2.3,159,69,0.36,9.0,59.3,8.0,8,10.0,10.3,8.8,Fairly Difficult (10th-12th grade),0.0,0,0.0,0,0.0,46.0,0,0.0,0.1,0.08,0.711,1.0
Small PRD,small_prd_files,blocksense-network__agent-harbor__specs__Public__Docs-Site-PRD,https://github.com/blocksense-network/agent-harbor,30.78,16.76,72.31,1.57,4.15,481,116,0.38,11.0,47.3,9.1,10,11.5,10.9,12.8,Difficult (College),71.2,20,0.08,176,0.75,46.0,0,0.0,0.06,0.09,0.762,0.32
Small PRD,small_prd_files,dilukangelosl__fairvrf__product_prd,https://github.com/dilukangelosl/fairvrf,13.91,11.43,21.9,1.13,2.73,325,119,0.32,11.5,38.7,9.6,12,12.3,10.5,14.2,Difficult (College),79.5,21,0.17,37,0.29,46.0,0,0.0,0.06,0.12,1.029,0.37
Small PRD,small_prd_files,Rhynorater__shift-agents-store__projectPRD,https://github.com/Rhynorater/shift-agents-store,38.6,32.99,50.5,1.69,1.68,420,250,0.46,10.3,49.0,8.5,9,11.4,10.6,11.7,Difficult (College),66.7,19,0.08,36,0.14,44.8,2,0.8,0.08,0.03,1.051,0.25
Small PRD,small_prd_files,w3bsuki__MCP-RAG-LAST-V2__projects__gym-app-prd-v2,https://github.com/w3bsuki/MCP-RAG-LAST-V2,20.72,9.59,71.56,2.35,8.94,286,32,0.28,15.1,30.4,13.4,16,15.9,14.4,16.1,Difficult (College),99.6,33,0.7,135,2.87,46.0,0,0.0,0.11,0.17,1.227,1.04
Small PRD,small_prd_files,BragatteMAS__os-postinstall-scripts__.github__BMAD__.backup-20250726-010706__bmad-core__templates__prd-tmpl,https://github.com/BragatteMAS/os-postinstall-scripts,12.88,9.93,31.92,1.36,4.46,321,72,0.28,14.6,34.7,13.2,15,16.5,14.9,14.3,Difficult (College),74.5,28,0.39,46,0.65,30.0,0,0.0,0.15,0.46,1.137,1.39
Small PRD,small_prd_files,jdelpego__meal_prep_frontend__PRD-Template,https://github.com/jdelpego/meal_prep_frontend,29.01,22.33,71.57,2.29,2.07,222,107,0.43,14.9,23.7,13.4,15,15.8,13.9,16.4,Very Difficult (College Graduate),84.5,15,0.24,129,2.08,46.0,0,0.0,0.15,0.31,1.701,2.15
Small PRD,small_prd_files,evergreen-os__selfhost-backend__plans__prd_01,https://github.com/evergreen-os/selfhost-backend,14.42,6.76,23.79,1.39,8.21,271,33,0.32,10.8,39.2,9.2,11,11.4,9.7,13.1,Difficult (College),87.7,21,0.18,99,0.86,46.0,0,0.0,0.06,0.05,1.063,0.09
Small PRD,small_prd_files,casey-mccarthy__kromrif-planning__PRD_Django_EQ_DKP,https://github.com/casey-mccarthy/kromrif-planning,100.57,19.39,190.98,3.1,16.59,730,44,0.39,18.1,9.3,16.7,20,18.3,16.0,19.9,Very Difficult (College Graduate),93.3,152,0.68,381,1.69,46.0,3,1.3,0.11,0.03,1.462,1.29
Small PRD,small_prd_files,promodeagro__promodeagro-ecommerce-api__doc__Ecommerce_PRD,https://github.com/promodeagro/promodeagro-ecommerce-api,15.87,4.4,27.6,1.53,19.67,295,15,0.24,19.1,12.7,18.4,22,19.8,17.1,17.9,Very Difficult (College Graduate),86.9,21,0.88,111,4.62,30.0,0,0.0,0.58,0.04,1.895,1.21
